#{"t_start": 1753738769.0501108, "env_id": "myoHandWheelHoldFixed-v0"}
r,l,t
114.352604,75,1.76544
91.197681,75,2.596283
163.78866,75,3.428075
26.364342,75,4.246066
57.733178,75,5.064484
236.376305,75,5.91142
299.037213,75,6.727786
245.902918,75,7.564587
177.02256,75,8.370188
220.925203,75,9.1831
53.866842,75,10.033151
187.110074,75,10.905019
296.990372,75,11.800843
182.576664,75,12.656262
144.752773,75,13.535032
282.805738,75,14.370247
316.106433,75,15.340147
159.467571,75,16.411864
54.169034,75,17.474288
293.037216,75,18.720713
153.316683,75,19.796759
143.563823,75,20.874355
161.135036,75,22.029173
195.115759,75,23.122835
145.610848,75,24.236181
55.660584,75,25.287846
266.86399,75,26.396275
175.313197,75,48.856299
16.872814,75,49.980101
157.979352,75,51.074848
191.053261,75,52.243984
82.435596,75,53.390257
159.745263,75,54.512233
33.102488,75,55.690645
198.983965,75,56.822973
120.383158,75,57.880329
222.570551,75,58.945678
18.245572,75,60.008846
-7.182352,75,61.092863
304.277049,75,62.192256
196.491162,75,63.259547
215.91954,75,64.397961
234.97843,75,65.46539
58.949783,75,66.514622
200.911501,75,67.58622
293.041637,75,68.683141
27.904903,75,69.747155
297.449248,75,70.825991
195.766129,75,71.902877
20.940778,75,72.978016
47.051383,75,74.146643
265.757165,75,75.247515
219.547421,75,76.268538
228.584867,75,77.325375
194.494528,75,90.31892
206.355018,75,91.131237
-7.298386,75,91.921161
134.803739,75,92.713816
255.78858,75,93.52192
75.143685,75,94.32502
58.634411,75,95.123705
151.929052,75,95.948946
55.651476,75,96.747026
314.414717,75,97.564433
170.754006,75,98.356374
220.79376,75,99.149399
65.388921,75,99.966052
294.000606,75,100.794416
230.489198,75,101.580325
349.608494,75,102.386192
49.591106,75,103.196391
309.759893,75,104.001736
125.450735,75,104.85797
210.471701,75,105.678426
54.250782,75,106.518224
170.484641,75,107.340614
203.790596,75,108.168356
163.681282,75,108.986765
66.125508,75,109.830195
309.869767,75,110.660305
222.739557,75,111.48025
184.484641,75,123.691627
294.307285,75,124.523608
271.540821,75,125.329541
229.469232,75,126.157153
168.388119,75,126.962961
313.471294,75,127.78516
261.451504,75,128.635574
258.396712,75,129.461887
285.155328,75,130.294101
130.303606,75,131.1444
59.330156,75,131.952376
302.538496,75,132.784254
335.723283,75,133.613476
178.019084,75,134.416443
165.757183,75,135.273833
287.282591,75,136.34623
262.346794,75,137.601709
210.591228,75,138.928837
142.142835,75,140.233535
204.092185,75,141.458981
102.940452,75,142.607376
169.460036,75,143.807822
272.823449,75,145.07608
160.211586,75,146.2219
305.868827,75,147.379577
176.2046,75,148.582753
34.36295,75,149.823899
116.858478,75,150.976794
234.647398,75,173.795653
237.719974,75,175.138584
228.238236,75,176.309395
352.992626,75,177.449667
204.058938,75,178.565719
156.053949,75,179.726051
213.256761,75,180.897114
260.369999,75,181.997959
211.856577,75,183.135079
126.772272,75,184.367102
308.769122,75,185.570352
177.418932,75,186.705698
184.756455,75,187.818507
184.368949,75,188.854149
176.284505,75,189.674523
52.990578,75,190.49627
91.092109,75,191.320738
251.58187,75,192.152924
